,	,	,	,	
1.985956790924072,	0.02163711929321289,	1.512372645378113,	0.6449819946289063,	
1.0701472311019897,	0.004847775936126709,	0.9988262681961058,	0.64533740234375,	
0.9663667516708375,	0.004830207824707031,	0.8946988477706911,	0.6522322998046876,	
0.7293932142257691,	0.004846591949462891,	0.660023585319519,	0.6416315307617187,	
0.5086145610809326,	0.004878623962402344,	0.4301533756256103,	0.6432051391601562,	
0.2620244483947754,	0.004842495918273926,	0.17161078453063963,	0.6458400268554687,	
0.2361259517669678,	0.004835328102111816,	0.1522402563095093,	0.641945068359375,	
1.9459245462417605,	0.004535168170928955,	1.4361632051467894,	1.1056884765625,	
1.944070006370544,	0.0045016961097717285,	1.4418711280822758,	1.1103848876953124,	
1.893783738136291,	0.0045166401863098145,	1.3990636816024784,	1.1176748046875,	
1.579602556228637,	0.00452016019821167,	1.1208150081634527,	1.06284619140625,	
1.001797534942627,	0.004517888069152832,	0.5613096942901611,	1.1297877197265624,	
0.45710867786407466,	0.004506783962249756,	0.17499350452423096,	3.982319580078125,	
0.4153755483627319,	0.004516831874847412,	0.1455082244873047,	4.3402509765625,	
2.0686391334533685,	0.0038248960971832275,	1.3918860464096068,	5.739123046875,	
2.069763875007629,	0.0038297600746154785,	1.394243944168091,	5.72206884765625,	
2.068465466499329,	0.0038248000144958496,	1.3937627191543587,	5.73822509765625,	
1.7815712709426874,	0.0038216960430145263,	1.1135576658248898,	5.79751416015625,	
1.1077498941421506,	0.0038103039264678956,	0.5580377902984619,	6.69433544921875,	
0.5524596166610718,	0.0038063359260559083,	0.17797382450103758,	9.6101123046875,	
0.5061297912597655,	0.003817471981048584,	0.1412811517715454,	12.813703125,	
2.062587705612183,	0.0038018560409545897,	1.3344036159515384,	9.681791015625,	
2.0626651449203495,	0.0037990400791168212,	1.3415157690048218,	9.6671826171875,	
2.0646727590560925,	0.00379801607131958,	1.3413851222991933,	9.703994140625,	
1.802580448150634,	0.0037816319465637208,	1.1036974134445192,	9.4373583984375,	
1.2015099201202395,	0.00379801607131958,	0.5743388795852657,	10.0138701171875,	
0.562457986831665,	0.003792896032333374,	0.18065644836425787,	18.78605859375,	
0.5104457244873047,	0.0037952001094818115,	0.18550825881958008,	39.9759375,	
2.040361626625061,	0.0033660480976104735,	1.2808375959396359,	22.87230859375,	
2.0463231353759768,	0.003374079942703247,	1.2751669149398803,	22.885501953125,	
1.9632405738830567,	0.0033783040046691895,	1.2392481889724736,	22.686333984375,	
1.8314361677169804,	0.003357856035232544,	1.0709135961532594,	22.703521484375,	
1.0837247657775877,	0.0033730559349060057,	0.5426129875183103,	23.3137109375,	
0.6041302108764649,	0.003369983911514282,	0.19133452796936037,	56.3551171875,	
0.35098441982269296,	0.0033495678901672363,	0.17996470355987548,	110.2311015625,	
2.0412611522674555,	0.0031784958839416503,	1.2178224616050726,	44.35219921875,	
2.0403531494140634,	0.0031869120597839357,	1.218716606616974,	44.249453125,	
2.0160108175277713,	0.003171328067779541,	1.1886440958976743,	44.4453359375,	
1.8198660793304453,	0.0031721920967102053,	1.0400837726593017,	44.17309765625,	
1.0613511018753055,	0.003174432039260864,	0.507441312789917,	51.63812109375,	
0.27669555568695064,	0.003176448106765747,	0.1247404489517212,	180.4624375,	
0.2767926082611084,	0.0031754240989685057,	0.125061918258667,	180.61209375,	
